venue_id,lat,lng
145,39.6847032,-75.7339786
146,35.16429,-90.046964
147,41.093741,-74.010912
148,39.9556277,-75.202315
149,29.5629354,-95.0422784
150,43.6757443,-79.3970116
151,41.500874,-81.686487
152,42.2513648,-83.667246
153,35.44329,-97.601046
154,29.5741725,-95.0585337
155,29.5629354,-95.0422784
156,29.574185,-95.027218
157,28.7972394,-97.0002639
158,33.529107,-117.155057
159,32.8119081,-96.8055294
160,32.66012485,-117.0339203
161,42.1293314,-70.9505296
162,38.9191485,-77.0362967
163,38.90419231,-77.06076622
164,41.8673675,-87.8828416
165,38.9197819,-77.5481809
166,42.3020046,-71.4343586
167,42.2988,-71.4233
168,42.3018,-71.4243
169,38.908633,-76.84014
170,38.8876105,-77.4362
171,41.879795,-87.629462
172,40.76823641,-73.92938107
173,40.8586696,-79.8946167
174,41.8584803,-87.6686227
175,35.3837731,-80.7845484
176,33.92940276,-84.33560371
177,42.031919,-87.882595
178,39.033612,-122.922314
179,43.8531053,-79.5206119
180,33.23136481,-97.17188358
181,26.103617,-80.364766
182,40.644449,-111.495993
183,24.5501618,-81.7985773
184,35.8810229,-84.1566344
185,36.757668,-119.803773
186,34.778921,-82.468086
187,42.91915,-89.244822
188,41.9870396,-87.6656439
189,35.87913188,-86.42789841
190,41.8327975,-71.4785553
191,39.479491,-74.999287
192,39.794091,-74.919872
193,36.952785,-122.033912
194,30.0044515,-90.1065357
195,40.7477609,-74.036758
196,41.790331,-72.506294
197,33.983617,-117.372507
198,33.1805786,-117.3284035
199,45.5021653,-73.5559841
200,34.7407509,-86.665784
201,44.5325,-89.5611
202,34.1067107,-117.5966207
203,41.7659946,-72.5766757
204,39.1634934,-84.4275847
205,45.45633778,-73.49205494
206,33.03025603,-96.69833422
207,33.08043092,-96.55025482
208,33.11136603,-96.56530738
209,47.3645,-122.052
210,39.1651157,-84.5120752
211,41.4237912,-82.077486
212,32.865091,-96.5458589
213,33.1059587,-96.5962879
214,32.89947689,-95.69957078
215,38.805379,-77.051264
216,42.285787,-83.781613
217,42.281873,-83.733614
218,34.949137,-81.931327
219,37.241568,-121.985347
220,44.923884,-93.415604
221,33.85807,-118.090461
222,34.949382,-81.931424
223,38.597792,-121.346655
224,30.4275112,-89.0974174
225,42.200978,-87.798982
226,34.1453698,-118.151167
227,40.69547,-80.30453
228,34.098405,-118.298649
229,41.39093,-82.085262
230,39.9326999,-91.4105
231,40.550094,-74.230446
232,40.75613422,-73.90534272
233,39.7432514,-104.9836099
234,26.167406,-80.128548
235,39.01418215,-95.68868637
236,27.958684,-81.938302
237,38.7027507,-121.2777907
238,34.241553,-77.849799
239,35.902815,-78.888947
240,26.1564006,-80.1381928
241,35.020586,-90.025966
242,32.748262,-97.640033
243,40.873948,-74.087709
244,39.7879395,-88.2691626
245,38.79183672,-77.32129186
246,34.082569,-117.140686
247,33.593616,-84.408575
248,33.8787857,-117.919898
249,38.837263,-77.103609
250,34.448759,-119.235121
251,44.709432,-93.442305
252,40.14266484,-105.1315641
253,33.1726415,-117.0783761
254,47.169759,-122.252867
255,32.7906471,-96.8104829
256,32.881153,-117.20526
257,41.168494,-85.1656538
258,33.1145666,-96.6269706
259,46.92546618,-122.2766644
260,38.581774,-90.628088
261,33.1146238,-96.6530832
262,46.0245823,-123.9207727
263,38.902201,-94.722256
264,42.275237,-83.001576
265,39.180197,-86.517732
266,38.155493,-85.668466
267,36.024268,-95.805343
268,32.750935,-116.943603
269,44.968537,-93.327121
270,40.663514,-73.991662
271,40.0772544,-75.4047004
272,41.687688,-70.923459
273,34.112738,-80.887386
274,45.425942,-75.692294
275,41.543912,-90.284206
276,41.302083,-82.114361
277,41.702079,-72.753646
278,39.661579,-75.616307
279,27.837221,-97.056053
280,37.42817061,-122.0976573
281,39.9511462,-75.1720959
282,25.768385,-80.411599
283,41.9126078,-88.3141244
284,36.115535,-115.196395
285,39.146799,-84.629475
286,41.90809008,-88.31025124
287,29.571719,-95.117178
288,30.24713046,-97.75106907
289,42.517816,-92.4560291
290,26.211648,-98.232557
291,27.8530676,-82.6388738
292,32.831308,-96.770071
293,38.9251525,-79.8481773
294,30.191799,-81.7056391
295,42.74097936,-84.6158067
296,37.76535,-122.43314
297,41.82305,-72.881271
298,47.5614876,-122.312903
299,38.946926,-77.064589
300,27.4990808,-82.4157174
301,42.040043,-87.6868399
302,41.890863,-87.657595
303,40.0755111,-75.1014409
304,39.023703,-77.14587
305,28.473886,-81.464867
306,41.894996,-87.65406
307,40.7432094,-73.8512809
308,30.338326,-85.590932
309,30.60229172,-96.35910451
310,33.044878,-96.827981
311,38.379604,-75.067581
